trip_id,starttime,stoptime,bikeid,tripduration,from_station_name,to_station_name,from_station_id,to_station_id,usertype,gender,birthyear
490,10/13/2014 11:54,10/13/2014 12:39,SEA00048,2676.788,E Harrison St & Broadway Ave E,Cal Anderson Park / 11th Ave & Pine St,CH-02,CH-08,Member,Male,1990
492,10/13/2014 11:55,10/13/2014 12:39,SEA00214,2684.59,E Harrison St & Broadway Ave E,Cal Anderson Park / 11th Ave & Pine St,CH-02,CH-08,Member,Other,1981
493,10/13/2014 11:57,10/13/2014 12:05,SEA00298,488.523,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,1st Ave & Marion St,PS-05,CBD-05,Member,Male,1982
494,10/13/2014 11:58,10/13/2014 12:39,SEA00104,2444.973,E Harrison St & Broadway Ave E,Cal Anderson Park / 11th Ave & Pine St,CH-02,CH-08,Member,Other,1967
495,10/13/2014 11:59,10/13/2014 12:19,SEA00412,1213.319,9th Ave N & Mercer St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,DPD-01,EL-01,Member,Male,1968
497,10/13/2014 12:02,10/13/2014 12:40,SEA00438,2286.013,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,Children's Hospital / Sandpoint Way NE & 40th Ave NE,UD-01,DPD-03,Member,Male,1955
498,10/13/2014 12:02,10/13/2014 12:20,SEA00037,1066.697,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,Children's Hospital / Sandpoint Way NE & 40th Ave NE,UD-01,DPD-03,Member,Male,1972
499,10/13/2014 12:02,10/13/2014 14:28,SEA00080,8737.446,Occidental Park / Occidental Ave S & S Washington St,3rd Ave & Broad St,PS-04,BT-01,Member,Male,1950
500,10/13/2014 12:04,10/13/2014 12:10,SEA00344,353.58,2nd Ave & Spring St,2nd Ave & Pine St,CBD-06,CBD-13,Member,Male,1946
501,10/13/2014 12:04,10/13/2014 12:13,SEA00236,535.867,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Pier 69 / Alaskan Way & Clay St,WF-04,WF-01,Member,Male,1953
502,10/13/2014 12:05,10/13/2014 12:13,SEA00461,531.244,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Pier 69 / Alaskan Way & Clay St,WF-04,WF-01,Member,Male,1950
503,10/13/2014 12:05,10/13/2014 12:16,SEA00058,666.619,6th Ave & Blanchard St,2nd Ave & Vine St,BT-04,BT-03,Member,Male,1989
504,10/13/2014 12:05,10/13/2014 12:45,SEA00405,2372.291,6th Ave & Blanchard St,12th Ave & NE Campus Pkwy,BT-04,UD-04,Member,Male,1964
506,10/13/2014 12:08,10/13/2014 19:07,SEA00155,25119.114,2nd Ave & Spring St,2nd Ave & Vine St,CBD-06,BT-03,Member,Male,1988
507,10/13/2014 12:11,10/13/2014 12:16,SEA00321,332.457,City Hall / 4th Ave & James St,City Hall / 4th Ave & James St,CBD-07,CBD-07,Short-Term Pass Holder,,
508,10/13/2014 12:11,10/13/2014 12:25,SEA00183,872.985,2nd Ave & Spring St,Occidental Park / Occidental Ave S & S Washington St,CBD-06,PS-04,Member,Female,1960
509,10/13/2014 12:13,10/13/2014 12:20,SEA00440,415.388,2nd Ave & Spring St,7th Ave & Union St,CBD-06,CBD-03,Member,Male,1970
510,10/13/2014 12:15,10/13/2014 12:31,SEA00218,1001.381,Burke Museum / E Stevens Way NE & Memorial Way NE,UW Intramural Activities Building,UW-02,UW-07,Member,Male,1983
